Gene_1,Gene_2
SCOC,DNAJB14
SCOC,BTC
SDAD1,SPRY1
SDAD1,UBE2D3
SEC24B,AFF1
SEC24B,USP53
SEC24B-AS1,ANTXR2
SEC24D,TMEM150C
SEC24D,PRKG2
SEC24D,SPRY1
SEC24D,ADH5
SEC24D,ANXA3
SEC24D,LARP1B
SEC24D,OSTC
SEC24D,ARHGEF38
SEC31A,ABRAXAS1
SEC31A,DAPP1
SEC31A,PKD2
SEC31A,SEC24D
SEC31A,ADH5
SEC31A,INTU
SEPTIN11,GPRIN3
SEPTIN11,CCNI
SEPTIN11,SLC39A8
SEPTIN11,HELQ
SEPTIN7P14,C4orf3
SEPTIN7P14,GTF2IP12
SEPTIN7P14,HNRNPDL
SEPTIN7P14,INTU
SETD7,INTU
SETD7,OSTC
SETD7,CYP2U1
SETD7,UNC5C
SETD7,SPRY1
SETD7,FAM241A
SETD7,CFI
SETD7,ABHD18
SETD7,G3BP2
SETD7,KLHL8
SETD7,SMAD1
SETD7,SYNPO2
SETD7,FAT4
SETD7,ARHGEF38
SETD7,CDKL2
SGMS2,STBD1
SGMS2,G3BP2
SGMS2,HHIP-AS1
SGMS2,SHROOM3
SGMS2,PAQR3
SGMS2,KLHL8
SGMS2,SMARCA5
SGMS2,SDAD1
SGMS2,UBE2D3
SGMS2,TIGD2
SGMS2,SPRY1
SGMS2,AREG
SGMS2,NAA15
SHROOM3,CXCL8
SHROOM3,GPAT3
SLC9B2,UNC5C
SLC9B2,CDS1
SLC9B2,BMP3
SLC9B2,SLC39A8
SMAD1,LAMTOR3
SMAD1,PPP3CA
SMAD1,ABCE1
SMAD1,MGST2
SMAD1,MMRN1
SMAD1,PTPN13
SMAD1,SEC24B
SMAD1,LINC01091
SMAD1,ANXA3
SMAD1,AREG
SMARCA5,AREG
SMARCA5,SLC39A8
SMARCA5,ANKRD50
SMARCA5,NDNF
SMARCA5,PTPN13
SMARCA5,HNRNPDL
SMARCAD1,TIGD2
SNCA,DNAJB14
SNCA,MMRN1
SNCA,MCUB
SNCA,ADH1B
SNCA,HPSE
SNHG8,CDKL2
SNHG8,NAAA
SOWAHB,ARSJ
SOWAHB,CAMK2D
SOWAHB,LIN54
SOWAHB,RCHY1
SOWAHB,CDS1
SOWAHB,SHROOM3
SPARCL1,SMAD1
SPARCL1,G3BP2
SPARCL1,FRAS1
SPARCL1,ENOPH1
SPARCL1,CFI
SPARCL1,ANKRD50
SPARCL1,INPP4B
SPARCL1,PDE5A
SPARCL1,BMP2K
SPARCL1,PKD2
SPARCL1,GPAT3
SPARCL1,MMRN1
SPARCL1,CDKL2
SPP1,CXCL8
SPRY1,INTU
SPRY1,ARHGAP24
SPRY1,MMRN1
STBD1,INPP4B
STBD1,FAM47E
STBD1,AFF1
STBD1,BMP3
STBD1,FGF2
SYNPO2,PDE5A
SYNPO2,RNF150
SYNPO2,INPP4B
SYNPO2,MAML3
SYNPO2,HNRNPDL
SYNPO2,ANXA3
SYNPO2,CYP2U1
SYNPO2,PPM1K
TBC1D9,ARHGAP24
TBC1D9,LINC01094
TBC1D9,MTHFD2L
TBC1D9,BMP2K
TBC1D9,GPRIN3
TBC1D9,MAML3
TBC1D9,HERC5
TBC1D9,EMCN
TBC1D9,FRAS1
TBCK,PRKG2
TBCK,INTU
TET2,ANKRD50
TET2,CNOT6L
TET2,OSTC
TET2,LIN54
TET2,BMP2K
TET2,ZNF827
TET2,SCLT1
TET2,WDFY3
TET2,PPM1K
TET2,BLTP1
TET2,GPRIN3
TET2,OTUD4
TET2,SNCA
TET2,PDE5A
TET2,ELF2
TET2,ALPK1
TET2,FRAS1
TET2,SMARCAD1
TET2,RNF150
TET2,FLJ20021
TET2,ABHD18
THAP6,INTU
THAP6,MRPL1
THAP6,SEC31A
THAP6,ELMOD2
THAP6,GPRIN3
THAP6,MFSD8
THAP9-AS1,CYP2U1
THAP9-AS1,TET2
THAP9-AS1,BLTP1
TIFA,UBE2D3
TIFA,RASGEF1B
TMEM150C,PYURF
TMEM150C,ANTXR2
TMEM150C,USO1
TMEM150C,CYP2U1
TMEM150C,MGST2
TNIP3,NFKB1
TNIP3,PARM1
TNIP3,AREG
TNIP3,CXCL5
TNIP3,NDNF
TNIP3,RAB33B
TRAM1L1,SGMS2
TRAM1L1,CYP2U1
TRAM1L1,PPP3CA
TRMT10A,ZGRF1
UBE2D3,PYURF
UBE2D3,PCDH18
UBE2D3,FGF2
UBE2D3,ARSJ
UBE2D3,MAML3
UBE2D3,PPP3CA
UBE2D3,RAB33B
UBE2D3,BMP3
UBE2D3,SHROOM3
UBE2D3,NFKB1
UNC5C,CDS1
UNC5C,SLC39A8
USO1,PYURF
USO1,ARHGAP24
USO1,C4orf3
USO1,OSTC
USP38,RAB33B-AS1
USP38,ANKRD50
USP38,METTL14
USP38,CXCL1
USP38,SMARCA5
USP38,CXCL2
USP53,PPM1K
WDFY3,BLTP1
WDFY3,USO1
WDFY3,FRAS1
WDFY3,PPM1K
WDFY3,RAB33B
WDFY3,WDFY3-AS2
ZGRF1,ABHD18
ZGRF1,CCNI
ZGRF1,INTU
ZNF330,HNRNPDL
ZNF330,ANXA5
ZNF330,ADH5
ZNF330,CYP2U1
ZNF827,LINC01094
ZNF827,CYP2U1
ZNF827,FGF2
ZNF827,SGMS2
ZNF827,SCLT1
ZNF827,LINC01088
