Gene_1,Gene_2
NAP1L5,NOCT
NAP1L5,PCDH18
NAP1L5,ARHGEF38
NAP1L5,GPAT3
NAP1L5,AREG
NAP1L5,CXCL8
NAP1L5,NAA15
NAP1L5,ELF2
NAP1L5,RNF150
NAP1L5,CNOT6L
NDNF,NPNT
NDNF,PRKG2
NDNF,PAQR3
NDNF,ARSJ
NDNF,USO1
NDNF,ANKRD50
NDUFC1,ALPK1
NDUFC1,BLTP1
NDUFC1,ZGRF1
NDUFC1,INTU
NDUFC1,PPP3CA
NDUFC1,DAPP1
NDUFC1,C4orf3
NFKB1,PAQR3
NFKB1,RASGEF1B
NFKB1,OTUD4
NFKB1,ABCE1
NPNT,SLC39A8
NPNT,USP53
NPNT,ARHGAP24
NPNT,ADH1C
NPNT,ANXA5
NUDT6,RAB33B
NUDT9,SLC39A8
NUDT9,SMARCA5
NUDT9,DAPP1
NUP54,THAP9-AS1
NUP54,MTHFD2L
NUP54,KLHL8
OSTC,CDKL2
OSTC,FAM47E
OSTC,CDS1
OSTC,ARHGEF38
OSTC,PPM1K
PAPSS1,PLAC8
PAPSS1,PTPN13
PAPSS1,SCD5
PARM1,SMARCAD1
PARM1,INPP4B
PARM1,FRAS1
PARM1,PTPN13
PARM1,MAML3
PARM1,NFKB1
PARM1,ADH5
PARM1,BLTP1
PARM1,ANXA3
PARM1,MAPK10
PARM1,ADH1C
PARM1,CDS1
PARM1,CDKL2
PDE5A,NDNF
PDE5A,ADH1B
PDE5A,INPP4B
PDE5A,ZNF330
PDE5A,DNAJB14
PDE5A,RNF150
PDE5A,ANKRD50
PDE5A,LARP1B
PDE5A,SEPTIN11
PDE5A,WDFY3-AS2
PDE5A,FLJ20021
PDE5A,AFF1
PDE5A,PCDH18
PDE5A,ARHGEF38
PDE5A,PGRMC2
PDE5A,PKD2
PDLIM5,LARP1B
PDLIM5,SYNPO2
PDLIM5,INTU
PDLIM5,THAP9
PDLIM5,PKD2
PDLIM5,SMARCA5
PDLIM5,INPP4B
PDLIM5,AREG
PDLIM5,SETD7
PF4,CXCL5
PKD2,NPNT
PKD2,FGF2
PKD2,RAB33B
PKD2,BLTP1
PKD2,AREG
PKD2,SEPTIN11
PKD2,AFF1
PKD2,EIF4E
PKD2,TIGD2
PLA2G12A,SPARCL1
PLA2G12A,ENOPH1
PLA2G12A,ELMOD2
PLA2G12A,KLHL8
PLAC8,OTUD4
PLAC8,CDS1
PLK4,CCNI
PPA2,CDS1
PPA2,INTU
PPA2,PARM1
PPA2,G3BP2
PPA2,KLHL8
PPA2,OTUD4
PPA2,PYURF
PPA2,COX18
PPBP,SLC39A8
PPBP,CXCL5
PPBP,MAML3
PPBP,PF4
PRDM5,EMCN
PRDM5,INTU
PRDM5,ABRAXAS1
PRDM5,ZGRF1
PRDM5,NDNF
PRDM5,PRKG2
PRDM5,NPNT
PRDM8,ADH1C
PRDM8,ADH5
PRDM8,NPNT
PRSS12,FAM47E
PRSS12,CDS1
PRSS12,FAM13A
PRSS12,ADH5
PRSS12,MCUB
PRSS12,SCD5
PTPN13,BLTP1
PTPN13,C4orf3
PTPN13,GTF2IP12
PTPN13,RASGEF1B
PTPN13,CAMK2D
PTPN13,FAM47E
PTPN13,BMP3
PTPN13,IL15
PTPN13,CDKL2
PTPN13,ALPK1
PTPN13,PPP3CA
PTPN13,ARHGEF38
PTPN13,CDS1
PTPN13,USO1
PYURF,PPP3CA
RAB33B,GPAT3
RAB33B-AS1,GPAT3
RAB33B-AS1,TSPAN5
RAB33B-AS1,CDS1
RAB33B-AS1,OSTC
RAP1GDS1,GPRIN3
RAP1GDS1,ANXA3
RAP1GDS1,TMEM150C
RAP1GDS1,NFKB1
RAP1GDS1,PDLIM5
RAP1GDS1,SEC24D
RAP1GDS1,MAD2L1
RASGEF1B,HPSE
RASGEF1B,NOCT
RASGEF1B,BMP2K
RASGEF1B,CXCL11
RASSF6,CXCL8
RASSF6,CDS1
RASSF6,ADH1C
RASSF6,COQ2
RASSF6,NDNF
RASSF6,SLC39A8
RASSF6,DNAJB14
RASSF6,MANBA
RASSF6,SEC24D
RASSF6,FAM13A
RASSF6,GPRIN3
RNF150,MAML3
RPL34,LIN54
RPL34,HERC6
RPL34,WDFY3-AS2
RPL34,AFF1
RPL34,SEPTIN11
RPL34,SNHG8
RPL34,HADH
RPL34,ZGRF1
RPL34,HNRNPD
RPL34,SGMS2
RPL34,LARP7
RPL34,ABRAXAS1
RPL34,NDUFC1
RPL34,BANK1
RPL34,WDFY3
RPL34,USP38
RPL34,ABHD18
RPL34,LSM6
RPL34,ANKRD50
RPL34,BLTP1
RPL34,OSTC
RPL34,CCNI
RPL34,RASGEF1B
SCARB2,PLA2G12A
SCARB2,PDE5A
SCARB2,BDH2
SCARB2,DAPP1
SCARB2,GSTCD
SCARB2,SCOC
SCARB2,CYP2U1
SCARB2,NDNF
SCARB2,ANKRD50
SCARB2,SEPTIN11
SCARB2,C4orf3
SCARB2,NPNT
SCARB2,ANTXR2
SCARB2,PYURF
SCARB2,PPM1K
SCARB2,SETD7
SCARB2,FRAS1
SCARB2,CXCL1
SCARB2,G3BP2
SCARB2,DNAJB14
SCARB2,ELMOD2
SCARB2,FLJ20021
SCD5,SLC39A8
SCD5,PPP3CA
SCD5,PRKG2
SCD5,PLAC8
SCD5,NDNF
SCD5,ANXA3
SCLT1,AFF1
SCLT1,BMP3
SCLT1,LARP7
SCLT1,BLTP1
SCLT1,NDNF
SCLT1,G3BP2
SCLT1,PARM1
SCLT1,TNIP3
SCOC,C4orf3
SCOC,PPP3CA
SCOC,ANXA3
SCOC,SMARCAD1
SCOC,DNAJB14
SCOC,ELMOD2
SCOC,ENOPH1
SCOC,FLJ20021
SCOC,SPARCL1
SCOC,BTC
SCOC,TRAM1L1
SCOC-AS1,FAM13A
SCOC-AS1,RASGEF1B
SDAD1,SPRY1
SDAD1,MRPL1
SDAD1,ABCE1
SDAD1,UBE2D3
SDAD1,FGF2
SEC24B,USP53
SEC24B,AFF1
SEC24B-AS1,ANTXR2
SEC24D,PRKG2
SEC24D,PLAC8
SEC24D,ANXA3
SEC24D,WDFY3-AS2
SEC24D,MAML3
SEC24D,ADH5
SEC24D,OTUD4
SEC24D,USO1
SEC24D,FGF2
SEC24D,LINC02615
SEC24D,TMEM150C
SEC24D,OSTC
SEC31A,DAPP1
SEC31A,PKD2
SEC31A,SEC24D
SEC31A,ADH5
SEC31A,GPRIN3
SEC31A,INTU
SEC31A,LIN54
SEPTIN11,PYURF
SEPTIN11,SLC39A8
SEPTIN11,HELQ
SEPTIN11,CCNI
SEPTIN11,GPRIN3
SEPTIN7P14,C4orf3
SEPTIN7P14,INTU
SEPTIN7P14,HNRNPDL
SEPTIN7P14,GTF2IP12
SETD7,NAA15
SETD7,ABHD18
SETD7,SPRY1
SETD7,UNC5C
SETD7,CYP2U1
SETD7,OSTC
SETD7,INTU
SETD7,ARHGEF38
SETD7,CDKL2
SETD7,SMAD1
SETD7,CFI
SETD7,SYNPO2
SETD7,KLHL8
SETD7,FAT4
SETD7,ANTXR2
SETD7,G3BP2
SGMS2,HHIP-AS1
SGMS2,STBD1
SGMS2,SHROOM3
SGMS2,CXCL5
SGMS2,PAQR3
SGMS2,AREG
SGMS2,SPRY1
SGMS2,PCDH18
SGMS2,G3BP2
SGMS2,UBE2D3
SGMS2,SDAD1
SGMS2,SMARCA5
SGMS2,KLHL8
SGMS2,TIGD2
SHROOM3,GPAT3
SLC9B2,BMP3
SLC9B2,SLC39A8
SLC9B2,CDS1
SLC9B2,UNC5C
SLC9B2,TBC1D9
SMAD1,SCD5
SMAD1,SEC24B
SMAD1,AREG
SMAD1,ANXA3
SMAD1,LINC01091
SMAD1,PPP3CA
SMAD1,MMRN1
SMAD1,MGST2
SMAD1,PTPN13
SMAD1,INTU
SMAD1,ABCE1
SMARCA5,SLC39A8
SMARCA5,HNRNPDL
SMARCA5,ANKRD50
SMARCA5,NDNF
SMARCA5,PTPN13
SMARCAD1,TIGD2
SMARCAD1,USO1
SMARCAD1,NFKB1
SNCA,DNAJB14
SNCA,MMRN1
SNCA,HPSE
SNCA,MCUB
SNHG8,CDKL2
SNHG8,NAAA
SOWAHB,FRAS1
SOWAHB,ADH1B
SOWAHB,AREG
SOWAHB,ARSJ
SOWAHB,RCHY1
SOWAHB,CDS1
SOWAHB,SHROOM3
SOWAHB,HHIP-AS1
SPARCL1,ENOPH1
SPARCL1,CFI
SPARCL1,PDE5A
SPARCL1,G3BP2
SPARCL1,PKD2
SPARCL1,CDKL2
SPARCL1,GPRIN3
SPARCL1,INPP4B
SPARCL1,ANKRD50
SPARCL1,BMP2K
SPARCL1,GPAT3
SPARCL1,MMRN1
SPARCL1,SMAD1
SPATA5,CNOT6L
SPP1,CXCL8
SPRY1,INTU
SPRY1,ARHGAP24
SPRY1,MMRN1
STBD1,INPP4B
STBD1,FGF2
STBD1,FAM47E
STBD1,AFF1
SYNPO2,PDE5A
SYNPO2,PARM1
SYNPO2,RNF150
SYNPO2,LINC02615
SYNPO2,MAML3
SYNPO2,CYP2U1
SYNPO2,ANXA3
SYNPO2,HNRNPDL
SYNPO2,INPP4B
SYNPO2,OTUD4
TBC1D9,MTHFD2L
TBC1D9,FRAS1
TBC1D9,MAML3
TBC1D9,RASGEF1B
TBC1D9,GPRIN3
TBC1D9,BMP2K
TBC1D9,LINC01094
TBC1D9,ARHGAP24
TBC1D9,MRPL1
TBC1D9,HERC6
TBC1D9,SCD5
TBC1D9,BTC
TBC1D9,HERC5
TBC1D9,EMCN
TBCK,INTU
TET2,SMARCAD1
TET2,FRAS1
TET2,ALPK1
TET2,ELF2
TET2,PGRMC2
TET2,OTUD4
TET2,ABHD18
TET2,LIN54
TET2,ANKRD50
TET2,RNF150
TET2,GPRIN3
TET2,BLTP1
TET2,BMP2K
TET2,FLJ20021
TET2,OSTC
TET2,SNCA
TET2,PDE5A
TET2,PPM1K
TET2,ZNF827
TET2,BBS12
TET2,WDFY3
TET2,SCLT1
THAP6,MRPL1
THAP6,GPRIN3
THAP6,MFSD8
THAP6,ELMOD2
THAP6,SEC31A
THAP6,INTU
THAP9-AS1,TET2
THAP9-AS1,BLTP1
THAP9-AS1,CYP2U1
TIFA,UBE2D3
TIGD2,LARP1B
TMEM150C,CYP2U1
TMEM150C,USO1
TMEM150C,ANTXR2
TMEM150C,PYURF
TMEM150C,MGST2
TNIP3,RAB33B
TNIP3,CXCL5
TNIP3,AREG
TNIP3,NDNF
TNIP3,NFKB1
TNIP3,PARM1
TNIP3,RASSF6
TRAM1L1,PPP3CA
TRAM1L1,AREG
TRAM1L1,CYP2U1
TRAM1L1,SGMS2
TRAM1L1,SMARCAD1
TRAM1L1,FRAS1
TRMT10A,ZGRF1
UBE2D3,FGF2
UBE2D3,PYURF
UBE2D3,PPP3CA
UBE2D3,NFKB1
UBE2D3,ARSJ
UBE2D3,PCDH18
UBE2D3,RAB33B
UBE2D3,MAML3
UBE2D3,BMP3
UBE2D3,SHROOM3
UBE2D3-AS1,PPA2
UBE2D3-AS1,BBS7
UNC5C,CDS1
UNC5C,SLC39A8
USO1,PYURF
USO1,ARHGAP24
USO1,C4orf3
USO1,LARP1B
USO1,OSTC
USP38,AREG
USP38,ADH1C
USP38,ANKRD50
USP38,METTL14
USP38,CNOT6L
USP38,SMARCA5
USP38,OTUD4
USP38,ABCE1
USP38,CXCL2
USP38,RAB33B-AS1
USP38,KLHL8
USP38,UBE2D3
USP38,CXCL1
USP53,PPM1K
WDFY3,USO1
WDFY3,FRAS1
WDFY3,PPM1K
WDFY3,BLTP1
WDFY3,RAB33B
WDFY3-AS2,USP53
ZGRF1,BMP3
ZGRF1,INTU
ZGRF1,HADH
ZGRF1,CCNI
ZGRF1,ABHD18
ZNF330,CYP2U1
ZNF330,ADH5
ZNF330,ANXA5
ZNF330,HNRNPDL
ZNF330,PCDH18
ZNF827,SCLT1
ZNF827,LINC01088
ZNF827,SGMS2
ZNF827,FGF2
ZNF827,CYP2U1
ZNF827,LINC01094
