Gene_1,Gene_2
MAML3,BBS12
MAML3,CXCL3
MAML3,CDKL2
MAML3,PRKG2
MAML3,AP1AR
MAML3,DNAJB14
MAML3,HSD17B11
MAML3,SHROOM3
MAML3,SGMS2
MAML3,MFSD8
MAML3,ANXA3
MAML3,SPRY1
MAML3,SPARCL1
MAML3,ELMOD2
MAML3,PRDM8
MAML3,CISD2
MAML3,HPSE
MAML3,G3BP2
MAML3,GPRIN3
TET2,INTS12
TET2,RASGEF1B
TET2,PARM1
TET2,CCNI
TET2,MAML3
TET2,ADH5
TET2,PAQR3
TET2,SLC39A8
TET2,FAT4
TET2,PDE5A
TET2,ENPEP
TET2,CCNG2
TET2,EXOSC9
TET2,NAA15
TET2,PPA2
TET2,THAP6
TET2,DAPP1
TET2,ZNF827
TET2,TBC1D9
TET2,FAM13A
TET2,NDUFC1
TET2,THAP9
TET2,BDH2
TET2,BBS7
TET2,IL15
TET2,LARP1B
TET2,CYP2U1
TET2,SCLT1
TET2,PCDH18
TET2,PKD2
TET2,FRAS1
TET2,OTUD4
TET2,UBE2D3
TET2,LEF1
TET2,COQ2
TET2,MTHFD2L
TET2,SMARCAD1
TET2,USP38
TET2,LARP7
TET2,HHIP
TET2,HELQ
TET2,PRSS12
TET2,WDFY3
TET2,SEC31A
TET2,MAPK10
TET2,TRAM1L1
TET2,TMEM150C
TET2,SHROOM3
TET2,SGMS2
TET2,ANK2
TET2,INTU
TET2,MFSD8
TET2,RNF150
TET2,SPRY1
TET2,SPARCL1
TET2,PRDM8
TET2,PRDM5
TET2,CAMK2D
TET2,EMCN
TET2,HPGDS
ADH5,ANKRD50
ADH5,RASGEF1B
ADH5,HSPA4L
ADH5,CCNI
ADH5,MAML3
ADH5,TET2
ADH5,PAQR3
ADH5,SLC39A8
ADH5,PDE5A
ADH5,RAP1GDS1
ADH5,ENPEP
ADH5,SYNPO2
ADH5,CCNG2
ADH5,EXOSC9
ADH5,EIF4E
ADH5,INPP4B
ADH5,NAA15
ADH5,AFF1
ADH5,MRPS18C
ADH5,METTL14
ADH5,HERC6
ADH5,ZNF827
ADH5,ALPK1
ADH5,ANKRD17
ADH5,ANTXR2
ADH5,NDUFC1
ADH5,SPP1
ADH5,TSPAN5
ADH5,BDH2
ADH5,SEC24B
ADH5,PAPSS1
ADH5,USP53
ADH5,SCARB2
ADH5,NPNT
ADH5,SCOC
ADH5,NAP1L5
ADH5,GAR1
ADH5,SNCA
ADH5,KLHL8
ADH5,CYP2U1
ADH5,SCLT1
ADH5,FGF2
ADH5,COPS4
ADH5,NUDT9
ADH5,ELOVL6
ADH5,PLA2G12A
ADH5,SMARCA5
ADH5,SCD5
ADH5,ADH1B
ADH5,DKK2
ADH5,SDAD1
ADH5,OTUD4
ADH5,ELF2
ADH5,PLAC8
ADH5,LEF1
ADH5,PPBP
ADH5,RASSF6
ADH5,SPATA5
ADH5,STBD1
ADH5,C4orf36
ADH5,AIMP1
ADH5,ANXA5
ADH5,COQ2
ADH5,TIGD2
ADH5,BANK1
ADH5,BMP2K
ADH5,ABCG2
ADH5,PTPN13
ADH5,SMARCAD1
ADH5,ZNF330
ADH5,PPP3CA
ADH5,LARP7
ADH5,MMAA
ADH5,SMAD1
ADH5,HHIP
ADH5,HERC3
ADH5,PDLIM5
ADH5,HELQ
ADH5,SEC31A
ADH5,CXCL3
ADH5,CXCL2
ADH5,CDKL2
ADH5,DNAJB14
ADH5,HADH
ADH5,ANK2
ADH5,MGST2
ADH5,RNF150
ADH5,ANXA3
ADH5,SPRY1
ADH5,SPARCL1
ADH5,ELMOD2
ADH5,CAMK2D
ADH5,C4orf3
ADH5,EMCN
ADH5,CISD2
ADH5,HPSE
PAQR3,CCNI
PAQR3,MAML3
PAQR3,TET2
PAQR3,ADH5
PAQR3,SLC39A8
PAQR3,FAT4
PAQR3,LIN54
PAQR3,PDE5A
PAQR3,RAP1GDS1
PAQR3,ENPEP
PAQR3,CCNG2
PAQR3,BMP3
PAQR3,EXOSC9
PAQR3,INPP4B
PAQR3,AFF1
PAQR3,THAP6
PAQR3,HERC6
PAQR3,ZNF827
PAQR3,RCHY1
PAQR3,FAM13A
PAQR3,NDUFC1
PAQR3,TSPAN5
PAQR3,THAP9
PAQR3,SEC24B
PAQR3,PAPSS1
PAQR3,BBS7
PAQR3,SCARB2
PAQR3,IL15
PAQR3,NPNT
PAQR3,TIFA
PAQR3,SCOC
PAQR3,MAD2L1
PAQR3,GAR1
PAQR3,LARP1B
PAQR3,SNCA
PAQR3,CYP2U1
PAQR3,SCLT1
PAQR3,COPS4
PAQR3,NUDT9
PAQR3,ELOVL6
PAQR3,PCDH18
PAQR3,GAB1
PAQR3,PLA2G12A
PAQR3,SMARCA5
PAQR3,SCD5
PAQR3,PF4
PAQR3,PKD2
PAQR3,FRAS1
PAQR3,SDAD1
PAQR3,OTUD4
PAQR3,ELF2
PAQR3,SPATA5
PAQR3,UNC5C
PAQR3,C4orf36
PAQR3,ANXA5
PAQR3,TIGD2
PAQR3,BANK1
PAQR3,BMP2K
PAQR3,SMARCAD1
PAQR3,CASP6
PAQR3,MMRN1
PAQR3,ENOPH1
PAQR3,ZNF330
PAQR3,GSTCD
PAQR3,PPP3CA
PAQR3,SETD7
PAQR3,LARP7
PAQR3,MMAA
PAQR3,MRPL1
PAQR3,SMAD1
PAQR3,HHIP
PAQR3,PDLIM5
PAQR3,HELQ
PAQR3,PRSS12
PAQR3,WDFY3
PAQR3,SEC31A
PAQR3,HNRNPD
PAQR3,CXCL2
PAQR3,ARSJ
PAQR3,TRAM1L1
PAQR3,DNAJB14
PAQR3,TMEM150C
PAQR3,HADH
PAQR3,SGMS2
PAQR3,ANK2
PAQR3,TNIP3
PAQR3,INTU
PAQR3,MFSD8
PAQR3,RNF150
PAQR3,COX18
PAQR3,ARHGAP24
PAQR3,SPARCL1
PAQR3,ELMOD2
PAQR3,NFKB1
PAQR3,CAMK2D
PAQR3,CISD2
PAQR3,PLK4
PAQR3,HPSE
PAQR3,HPGDS
SLC39A8,RASGEF1B
SLC39A8,PARM1
SLC39A8,HSPA4L
SLC39A8,C4orf33
SLC39A8,TET2
SLC39A8,ADH5
SLC39A8,PAQR3
SLC39A8,FAT4
SLC39A8,LIN54
SLC39A8,PDE5A
SLC39A8,RAP1GDS1
SLC39A8,SYNPO2
SLC39A8,CCNG2
SLC39A8,EXOSC9
SLC39A8,INPP4B
SLC39A8,NAA15
SLC39A8,PPA2
SLC39A8,THAP6
SLC39A8,DAPP1
SLC39A8,METTL14
SLC39A8,SLC10A7
SLC39A8,ZNF827
SLC39A8,RCHY1
SLC39A8,ALPK1
SLC39A8,OSTC
SLC39A8,THAP9
SLC39A8,SEC24B
SLC39A8,PAPSS1
SLC39A8,CDS1
SLC39A8,CXCL11
SLC39A8,BBS7
SLC39A8,IL15
SLC39A8,TIFA
SLC39A8,SCOC
SLC39A8,MAD2L1
SLC39A8,NAP1L5
SLC39A8,SNCA
SLC39A8,CYP2U1
SLC39A8,SCLT1
SLC39A8,COPS4
SLC39A8,RAB33B
SLC39A8,GAB1
SLC39A8,BTC
SLC39A8,PLA2G12A
SLC39A8,GYPE
SLC39A8,PF4
SLC39A8,PKD2
SLC39A8,FRAS1
SLC39A8,ELF2
SLC39A8,RASSF6
SLC39A8,COQ2
SLC39A8,ABCG2
SLC39A8,SMARCAD1
SLC39A8,CXCL1
SLC39A8,RPL34
SLC39A8,ENOPH1
SLC39A8,GSTCD
SLC39A8,CNOT6L
SLC39A8,SETD7
SLC39A8,MRPL1
SLC39A8,SMAD1
SLC39A8,HHIP
SLC39A8,HERC3
SLC39A8,WDFY3
SLC39A8,BBS12
SLC39A8,CXCL3
SLC39A8,CXCL2
SLC39A8,CDKL2
SLC39A8,PRKG2
SLC39A8,ARSJ
SLC39A8,TRAM1L1
SLC39A8,AP1AR
SLC39A8,DNAJB14
SLC39A8,SGMS2
SLC39A8,INTU
SLC39A8,MFSD8
SLC39A8,ANXA3
SLC39A8,COX18
SLC39A8,SPRY1
SLC39A8,SPARCL1
SLC39A8,ELMOD2
SLC39A8,NFKB1
SLC39A8,PRDM5
SLC39A8,C4orf3
SLC39A8,PLK4
SLC39A8,GPRIN3
FAT4,ANKRD50
FAT4,RASGEF1B
FAT4,TET2
FAT4,PAQR3
FAT4,SLC39A8
FAT4,PDE5A
FAT4,RAP1GDS1
FAT4,ENPEP
FAT4,EXOSC9
FAT4,EIF4E
FAT4,NAA15
FAT4,AFF1
FAT4,DAPP1
FAT4,METTL14
FAT4,SLC10A7
FAT4,RCHY1
FAT4,OSTC
FAT4,ANTXR2
FAT4,SPP1
FAT4,PAPSS1
FAT4,BBS7
FAT4,USP53
FAT4,SCARB2
FAT4,TIFA
FAT4,MAD2L1
FAT4,CXCL5
FAT4,GAR1
FAT4,SNCA
FAT4,KLHL8
FAT4,SCLT1
FAT4,FGF2
FAT4,COPS4
FAT4,NUDT9
FAT4,BTC
FAT4,PLA2G12A
FAT4,SMARCA5
FAT4,SDAD1
FAT4,OTUD4
