Gene_1,Gene_2
NPNT,CDS1
NPNT,ADH1C
NPNT,WDFY3-AS2
NPNT,IL15
NPNT,USP53
NUDT9,HHIP-AS1
NUDT9,G3BP2
NUDT9,DAPP1
NUP54,COQ2
NUP54,SEC31A
OSTC,CISD2
OTUD4,AFF1
PAPSS1,CDKL2
PAQR3,MGST2
PARM1,PTPN13
PARM1,SPATA5
PARM1,NPNT
PARM1,CCNI
PARM1,ADH1C
PARM1,CDS1
PARM1,INTU
PARM1,IL15
PARM1,FRAS1
PARM1,PKD2
PARM1,NAA15
PDE5A,C4orf3
PDE5A,SEPTIN11
PDE5A,USP53
PDE5A,NDNF
PDE5A,RNF150
PDE5A,MMRN1
PDE5A,ANKRD50
PDE5A,PKD2
PDE5A,UNC5C
PDE5A,MAML3
PDE5A,PTPN13
PDE5A,LARP1B
PDE5A,INPP4B
PDE5A,PRSS12
PDE5A,FRAS1
PDLIM5,HNRNPDL
PDLIM5,NAAA
PDLIM5,SLC39A8
PDLIM5,ADH5
PDLIM5,FGF2
PDLIM5,PCDH18
PDLIM5,INPP4B
PDLIM5,PKD2
PDLIM5,SYNPO2
PDLIM5,CXCL9
PDLIM5,SETD7
PF4,ABCE1
PF4,CXCL5
PKD2,CDS1
PKD2,NDNF
PKD2,PRSS12
PKD2,KLHL8
PKD2,EIF4E
PKD2,BLTP1
PKD2,PAQR3
PKD2,HHIP-AS1
PKD2,CDKL2
PLA2G12A,OSTC
PLAC8,SLC39A8
PLAC8,FAM47E
PLAC8,CDS1
PPA2,COX18
PPA2,PARM1
PPA2,PYURF
PPA2,RAB33B
PPA2,HHIP-AS1
PPA2,NDUFC1
PPA2,COQ2
PPA2,PKD2
PPBP,PF4
PPBP,CXCL5
PPBP,MANBA
PRDM5,PDE5A
PRDM5,PARM1
PRDM5,UNC5C
PRDM5,NDNF
PRDM5,CDS1
PRDM5,INTU
PRDM8,MCUB
PRKG2,PPM1K
PRKG2,SLC39A8
PRSS12,FRAS1
PRSS12,MCUB
PRSS12,ADH5
PRSS12,LINC01091
PRSS12,MAPK10
PRSS12,CDS1
PRSS12,FAM47E
PTPN13,ARHGEF38
PTPN13,CDKL2
PTPN13,MAPK10
PTPN13,CDS1
PTPN13,CAMK2D
PTPN13,C4orf3
PTPN13,BLTP1
PTPN13,BMP3
RAP1GDS1,ANXA5
RAP1GDS1,C4orf3
RAP1GDS1,MAPK10
