Gene_1,Gene_2
MANBA,LAMTOR3
MANBA,GPRIN3
MANBA,LINC01094
MANBA,RASGEF1B
MANBA,MAPK10
MAPK10,FAM47E
MAPK10,OTUD4
MAPK10,INTU
MAPK10,LINC01094
MAPK10,ADH1C
MAPK10,CDS1
MCUB,INTU
MCUB,PPM1K
MCUB,LINC01094
MCUB,CXCL11
MCUB,MAPK10
MCUB,HPSE
MCUB,AIMP1
MCUB,LARP1B
MCUB,CAMK2D
MCUB,FAM13A
MCUB,SHROOM3
MCUB,NAAA
MCUB,FAM47E
MCUB,GPRIN3
METAP1,USP53
METAP1,AREG
METAP1,STBD1
METAP1,NOCT
METTL14,PGRMC2
MFSD8,ANTXR2
MFSD8,MGST2
MFSD8,ARHGEF38
MFSD8,ABHD18
MFSD8,H2AZ1
MFSD8,ADH5
MFSD8,BLTP1
MFSD8,OSTC
MFSD8,SEPTIN7P14
MFSD8,C4orf3
MFSD8,CCNI
MFSD8,SMARCAD1
MFSD8,INTU
MFSD8,HNRNPDL
MGST2,ARHGEF38
MGST2,SLC39A8
MGST2,AFF1
MMAA,LINC01094
MMAA,RASGEF1B
MMAA,MCUB
MMAA,FGF2
MMAA,FAT4
MMAA,COQ2
MMAA,ALPK1
MMAA,EMCN
MMRN1,AFF1
MTHFD2L,LARP1B
MTHFD2L,CISD2
MTHFD2L,PAQR3
MTHFD2L,FAM13A
MTHFD2L,ANTXR2
MTHFD2L,USP53
MTHFD2L,OSTC
MTHFD2L,LINC01094
MTHFD2L,HNRNPDL
MTHFD2L,INTU
MTHFD2L,SHROOM3
MTHFD2L,LAMTOR3
MTHFD2L,MCUB
MTHFD2L,SGMS2
MTHFD2L,SDAD1
MTHFD2L,PCDH18
MTHFD2L,EMCN
MTHFD2L,HERC5
MTHFD2L,MANBA
MTHFD2L,MGST2
NAA15,HHIP-AS1
NAA15,MANBA
NAA15,ADH5
NAA15,LARP1B
NAA15,CISD2
NAA15,SEC24B
NAA15,BMP3
NAA15,MGST2
NAA15,ABCE1
NAP1L5,GPAT3
NAP1L5,CXCL2
NAP1L5,COX18
NAP1L5,PLAC8
NAP1L5,METAP1
NAP1L5,SEPTIN7P14
NAP1L5,AREG
NAP1L5,ANKRD50
NAP1L5,NOCT
NAP1L5,PCDH18
NAP1L5,ZGRF1
