protein1,protein2
UBE2D3,RNF8
UBE2D3,UBE2G2
UBE2D3,UBE2E1
UBE2D3,BIRC3
UBE2D3,SMAD3
UBE2D3,EGF
UBE2D3,TRAF6
UBE2D3,UBE4B
UBE2D3,UBE2W
UBE2D3,UBE2J1
UBE2D3,UBE2Z
UBE2D3,DCUN1D4
UBE2D3,RNF2
UBE2D3,TLR3
UBE2D3,UBA7
UBE2D3,UBE2E3
UBE2D3,EPAS1
UBE2D3,UBE2L6
UBE2D3,SMAD5
UBE2D3,ATG7
UBE2D3,UBE2J2
UBE2D3,DCUN1D2
UBE2D3,IKBKG
UBE2D3,UBE2Q1
ANAPC11,ANAPC10
ACTB,COPS4
ACTB,ANXA5
ACTB,CASP6
SMC4,CCNA2
SMC4,MAD2L1
ACSL3,ELOVL6
FXR1,CAMK2D
POT1,CCNA2
COPS5,COPS4
PAX5,LEF1
HSD17B11,CYP19A1
HSD17B11,CYP2A6
CX3CR1,CXCL1
WTAP,METTL14
DCAF4,COPS4
CNOT3,CNOT6L
CNOT3,EIF4E
CASP8,CASP6
CASP8,NFKB1
CASP8,EIF4E
CASP8,PTPN13
PSMB10,NFKB1
PSMB10,HNRNPD
PTPN5,PTPN13
WDR5,COPS4
TTC37,EXOSC9
STIP1,HSPA4L
CCL20,CXCL8
CCL20,CXCL10
CCL20,CXCL2
CCL20,CXCL1
EDC4,LSM6
TGFBR2,SMAD1
AP2A1,PPP3CA
KLHL9,KLHL8
SMARCAD1,MSH2
SMARCAD1,TRIM28
WWP2,UBE2D3
MAPK10,TRAF3
MAPK10,FOS
MAPK10,RALA
MAPK10,RAC1
MAPK10,MAPK8IP3
MAPK10,BDNF
MAPK10,BAD
MAPK10,JUND
MAPK10,CDC42
MAPK10,FOXO3
MAPK10,FOXO4
MAPK10,NGF
MAPK10,MAPK8IP2
MAPK10,JUN
MAPK10,RALB
MAPK10,ATF2
MAPK10,PRKCZ
MAPK10,MAPK8
MAPK10,MAP2K4
MAPK10,TRAF6
MAPK10,ARR3
MAPK10,WNT5A
MAPK10,FLNA
MAPK10,FZD2
MAPK10,TP53
MAPK10,APP
MAPK10,HRAS
MAPK10,MAP2K7
MAPK10,DUSP1
MAPK10,ARRB1
MAPK10,ARRB2
MAPK10,NGFR
MAPK10,MAGED1
MAPK10,ROR2
MAPK10,SAG
MAPK10,BCL2L11
MAPK10,CD40
MAPK10,NR3C1
MAPK10,MAPK9
MAPK10,ZNF274
MAPK10,TRAF2
MAPK10,SMAD4
MAPK10,SARM1
MAPK10,SP1
MAPK10,CD40LG
MAPK10,SORT1
MAPK10,MAPK8IP1
NUP214,SMAD1
NUP214,EIF4E
NUP214,NUP54
NUP214,HSPA4L
PCBP2,HNRNPD
DNMT1,SMARCA5
PCNT,PLK4
AP4M1,SPP1
SUPV3L1,EXOSC9
G3BP2,USP10
G3BP2,CAPRIN1
G3BP2,ATXN2L
G3BP2,TWIST1
DDA1,COPS4
RTEL1,CCNA2
CUX1,RAB33B
BAZ1A,SMARCA5
CDC16,ANAPC10
CDC16,MAD2L1
ETF1,ABCE1
RRM2,CCNA2
RRM2,MAD2L1
TPPP,SNCA
GTPBP4,SDAD1
GTPBP4,ABCE1
MRPL37,MRPL1
EIF3B,ABCE1
EIF3B,EIF4E
UBE2Z,UBE2D3
NTRK3,GAB1
UBA3,UBE2D3
STAT1,CAMK2D
STAT1,HERC5
STAT1,CXCL10
SREBF2,ELOVL6
SREBF2,SCD5
COMT,ADH1B
INPP5F,INPP4B
TOP1,CASP6
MRPL24,MRPL1
MTOR,NFKB1
MTOR,EIF4E
MRPL21,MRPS18C
MRPL21,MRPL1
PTGS1,CYP2U1
PTGS1,HPGDS
SMURF1,UBE2D3
SMURF1,SMAD1
MAGT1,OSTC
MT-ND6,NDUFC1
MT-ND1,NDUFC1
MT-ND4L,NDUFC1
RPL12,RPL34
RPL12,ABCE1
MT-ND5,NDUFC1
CXCL9,PF4V1
CXCL9,PF4
CXCL9,CCL5
CXCL9,CXCL10
CXCL9,CXCL13
CXCL9,CCL2
CXCL9,CD79A
CXCL9,CXCL11
CXCL9,CXCR3
CXCL9,CD79B
CXCL9,CCR5
CXCL9,MAP2K3
TIFA,RPS27A
TIFA,TRAF6
GAB2,GAB1
MT-ND4,NDUFC1
NAA35,NAA15
MT-ND2,NDUFC1
ARHGAP11A,CCNA2
QKI,CAMK2D
INO80,COPS4
MT-ND3,NDUFC1
E2F2,CCNA2
CNOT7,EIF4E
CNOT7,CNOT6L
PTPLA,ELOVL6
RPL39,RPL34
PSMB5,HNRNPD
PSMB5,NFKB1
EXO1,CCNA2
RYR2,CAMK2D
RYR2,PKD2
TOMM20,SNCA
EGLN1,UBE2D3
AGT,ENPEP
COG2,RAB33B
COG2,USO1
RAB4A,GAB1
HIST3H3,SMARCA5
HIST3H3,LEF1
ADCK3,COQ2
PARP1,CAMK2D
PARK2,SNCA
PARK2,UBE2D3
EPRS,AIMP1
EPRS,ABCE1
TGFB2,SMAD1
RRP15,SDAD1
CENPF,CCNA2
CENPF,MAD2L1
PTPN14,PTPN13
DTL,CCNA2
DTL,COPS4
INTS7,INTS12
NEK2,ANAPC10
NEK2,MAD2L1
NEK2,CCNA2
PIK3C2B,INPP4B
KLHL12,KLHL8
KLHL12,SEC24B
KLHL12,SEC24D
KLHL12,SEC31A
ASPM,CCNA2
ASPM,PLK4
ASPM,MAD2L1
CFH,CFI
PTGS2,CXCL8
PTGS2,HPGDS
PTGS2,CYP2U1
TPR,MAD2L1
TPR,HSPA4L
TPR,EIF4E
RNF2,UBE2D3
RNF2,ANAPC10
EPM2A,STBD1
DHX9,NFKB1
DHX9,EIF4E
RNASEL,ABCE1
SF3B5,LSM6
LTV1,SDAD1
RFWD2,COPS4
SERPINC1,PF4
FASLG,PTPN13
PIGC,PYURF
GORAB,RCHY1
HBS1L,EXOSC9
HBS1L,ABCE1
DCAF6,COPS4
NDUFS2,NDUFC1
F11R,FGF2
COPA,USO1
TAGLN2,ANXA5
ACKR1,CXCL8
PTPRK,BTC
BGLAP,SPP1
LMNA,CAMK2D
LMNA,CASP6
LAMTOR2,LAMTOR3
LAMTOR2,EIF4E
DAP3,MRPS18C
HEY2,MAML3
FABP7,MAML3
IL6R,GAB1
ECHS1,HADH
RPS27,RPL34
RPS27,ABCE1
INPP5A,INPP4B
MKI67,CCNA2
S100A12,ANXA5
S100A12,NFKB1
BCCIP,CCNA2
MRPL9,MRPL1
BUB3,ANAPC10
BUB3,MAD2L1
PSMD4,HNRNPD
PSMD4,NFKB1
LACE1,SPATA5
PLEKHA1,PTPN13
PDSS2,COQ2
SEC23IP,SEC31A
ATG5,WDFY3
BAG3,HSPA4L
BAG3,SYNPO2
EIF3A,ABCE1
EIF3A,EIF4E
HIST2H2BE,LEF1
HIST2H2BE,SMARCA5
HSPA12A,HSPA4L
HSPA12A,NUP54
CASP7,EIF4E
MDN1,SDAD1
RRAGD,EIF4E
RRAGD,LAMTOR3
SHOC2,PPP3CA
BRCC3,ANAPC10
NGF,CASP6
NGF,NFKB1
NGF,MAPK10
NGF,GAB1
NRAS,AREG
NRAS,CAMK2D
NRAS,FGF2
NRAS,BTC
RARS2,AIMP1
DKC1,CCNA2
DKC1,GAR1
DDX20,NUP54
RAP1A,GAB1
GSTO1,HPGDS
RBM15,METTL14
PDCD11,SDAD1
TTK,PLK4
TTK,MAD2L1
TTK,CCNA2
USMG5,NDUFC1
PCGF6,ANAPC10
FLNA,ANXA5
FLNA,ARHGAP24
FLNA,MAPK10
FLNA,ABCE1
GNAI3,GAB1
SUFU,INTU
NFKB2,NFKB1
MYO6,CAMK2D
IRAK1,NFKB1
GBF1,USO1
DBT,PPM1K
BTRC,NFKB1
BTRC,PLK4
PTBP2,EIF4E
CETN2,MAD2L1
RPL5,MRPL1
RPL5,RPL34
YTHDF1,METTL14
SEC31B,SEC24D
SEC31B,SEC24B
SCD,ELOVL6
MTM1,INPP4B
CHUK,NFKB1
ABCC2,ABCG2
GBP1,CXCL10
FMR1,EIF4E
RBMX,HNRNPD
CD40LG,MAPK10
CD40LG,NFKB1
PTP4A1,CCNA2
PRKACB,NFKB1
BAG2,HSPA4L
IFI44,HERC5
IFI44L,HERC5
GPC4,HPSE
ACADM,HADH
PSMA7,NFKB1
PSMA7,HNRNPD
EXOSC1,EXOSC9
SERBP1,RPL34
UBE2U,UBE2D3
OCRL,INPP4B
PKHD1,PKD2
SMARCA1,SMARCA5
CYP2J2,CYP2U1
JUN,CXCL8
JUN,MAPK10
PPAP2B,SGMS2
CYP2C8,CYP2U1
CYP2C19,CYP2U1
NOC3L,SDAD1
RCAN2,PPP3CA
NDC1,HSPA4L
NDC1,EIF4E
NDUFA1,NDUFC1
RUNX2,SMAD1
RNF113A,LSM6
MRPL41,MRPS18C
MRPL41,MRPL1
CEP55,CCNA2
SCP2,HADH
UBE2A,UBE2D3
ORC1,CCNA2
PTGDS,HPGDS
AGPAT2,CDS1
INPP5E,INPP4B
PMPCA,COQ2
EPS15,PPP3CA
MRPS2,MRPS18C
IFIT1,HERC6
IFIT1,HERC5
IFIT3,HERC5
IFIT2,HERC5
STIL,PLK4
CYP4A22,CYP2U1
CYP4X1,ADH1B
MKNK1,EIF4E
PTEN,INPP4B
RPL7A,RPL34
RPL7A,ABCE1
MRPL14,MRPL1
BMPR1A,SMAD1
MRPS18A,MRPS18C
MRPS18A,MRPL1
DDX31,SDAD1
RAPGEF1,GAB1
KIF2C,CCNA2
KIF2C,MAD2L1
POLH,RCHY1
CD40,NFKB1
CD40,MAPK10
MMP9,FGF2
ABL1,CCNA2
EXOSC2,HNRNPD
EXOSC2,SDAD1
EXOSC2,EXOSC9
PRPS1,NUDT9
CDC20,CCNA2
CDC20,MAD2L1
CDC20,ANAPC10
NUP62CL,NUP54
YBX1,HNRNPD
NUP188,NUP54
NUP188,HSPA4L
SDC4,HPSE
SDC4,FGF2
SDC4,CXCL10
SPTAN1,ANK2
OXCT2,BDH2
CHCHD1,MRPS18C
HNRNPH2,HNRNPD
YWHAB,CAMK2D
YWHAB,EIF4E
HEYL,MAML3
DNM1,CXCL8
DNM1,PPP3CA
DNM1,CXCL10
MRPS16,MRPL1
MRPS16,MRPS18C
NDUFS5,NDUFC1
RRAGC,EIF4E
RRAGC,LAMTOR3
UTP11L,SDAD1
LCN2,FGF2
SF3A3,LSM6
INPP5B,INPP4B
CDCA8,CCNA2
CDCA8,MAD2L1
CDCA8,NUP54
GNL2,SDAD1
MEAF6,JADE1
MRPS15,MRPS18C
ENG,SMAD1
AGO1,EIF4E
EIF4EBP2,EIF4E
PSMB2,HNRNPD
PSMB2,NFKB1
SAR1A,SEC31A
SAR1A,SEC24D
SAR1A,SEC24B
CDK9,CCNA2
CDK9,LARP7
CDK9,AFF1
TSPAN15,TSPAN5
RNF8,UBE2D3
RBBP4,LIN54
RBBP4,ZNF827
RBBP4,SMARCA5
HDAC1,SMARCA5
HDAC1,NFKB1
HDAC1,LEF1
HDAC1,CCNA2
SRC,GAB1
SRC,DAPP1
SRC,NFKB1
SRC,UNC5C
SRC,SNCA
SRC,PTPN13
EIF3I,ABCE1
COPS7B,COPS4
RPS4X,RPL34
RPS4X,ABCE1
RBL1,LIN54
RBL1,CCNA2
CXCR3,CXCL11
CXCR3,CXCL9
CXCR3,PF4
CXCR3,CXCL10
PEF1,SEC31A
PEF1,SEC24D
PEF1,SEC24B
OGT,TET2
NDUFA8,NDUFC1
YTHDF2,METTL14
TRAF1,NFKB1
RPL10A,RPL34
UBE2D1,ANAPC10
UBE2D1,SMAD1
UBE2D1,CXCL8
UBE2D1,NFKB1
ZWINT,MAD2L1
DKK1,DKK2
TLR4,NFKB1
TLR4,UBE2D3
TLR4,CXCL10
PRKG1,PDE5A
FGR,PTPN13
FGR,SNCA
FGR,CXCL8
FGR,DAPP1
POLE3,SMARCA5
WDR31,RPL34
PRPF4,LSM6
IL2RG,IL15
CDC26,ANAPC10
CDC26,MAD2L1
FOXO4,CCNG2
FOXO4,MAPK10
ZNF593,SDAD1
UGCG,SGMS2
ITPR3,ANK2
PTPN20A,PTPN13
ALOX5,CYP2U1
RCAN3,PPP3CA
KIF4A,MAD2L1
KIF4A,CCNA2
LPAR1,GAB1
LPAR1,NFKB1
LPAR1,CXCL8
EIF6,SDAD1
EIF6,RPL34
HMGCL,BDH2
TXN,NFKB1
PTPN3,AREG
PTPN3,BTC
DAXX,PTPN13
RPL11,MRPL1
RPL11,RPL34
BMPR2,SMAD1
HNRNPR,HNRNPD
EPHB2,PTPN13
RING1,ANAPC10
AR,RCHY1
HSPG2,FGF2
HSPG2,HPSE
AOX1,ADH5
AOX1,ADH1C
AOX1,ADH1B
CCNY,CCNA2
PPP3R2,PPP3CA
PSMB9,NFKB1
MRPL50,MRPL1
PSMB8,NFKB1
PSMB8,HNRNPD
TEX10,SDAD1
EIF2S2,EIF4E
EIF2S2,ABCE1
TGFBR1,SMAD1
NOTCH4,MAML3
PINK1,SNCA
AGER,NFKB1
PLA2G2D,PLA2G12A
NCBP1,METTL14
NCBP1,EIF4E
MRTO4,SDAD1
HABP4,ANXA5
TFDP1,CCNA2
SKIV2L,EXOSC9
CUL4A,COPS4
EHMT2,CXCL8
RSG1,INTU
IARS,AIMP1
HSPA1B,NUP54
HSPA1A,NUP54
HSPA1L,NUP54
LSM2,LSM6
ASXL1,TET2
MAGED1,MAPK10
ROR2,MAPK10
SYK,SPP1
SYK,NFKB1
SYK,SNCA
CKS2,CCNA2
CKS2,MAD2L1
ZCCHC6,EIF4E
CCNB3,MAD2L1
PDSS1,COQ2
CCDC22,COPS4
HNRNPK,HNRNPD
DHX16,LSM6
TLE1,LEF1
MTHFR,MTHFD2L
GNL1,SDAD1
BMI1,ANAPC10
BMI1,UBE2D3
TBC1D25,RAB33B
COMMD3,COPS4
KLK6,SNCA
EXOSC10,EXOSC9
GPC6,HPSE
GPC5,HPSE
SPRY2,SPRY1
PRKACG,NFKB1
CRNKL1,LSM6
KLHL21,KLHL8
HIF3A,UBE2D3
DCAF10,COPS4
HIST1H4H,SMARCA5
HIST1H4B,SMARCA5
DIS3,EXOSC9
DIS3,CXCL8
HIST1H4C,SMARCA5
CKAP2,CCNA2
ITGA8,NPNT
ITGA8,SPP1
GBA2,SGMS2
TDP2,NFKB1
TP73,CCNA2
TP73,RCHY1
HSPA14,NUP54
HES5,MAML3
NUP160,NUP54
NUP160,EIF4E
SKI,SMAD1
PRKCZ,NFKB1
PRKCZ,MAPK10
UQCRQ,NDUFC1
ESD,ADH5
ZFC3H1,EXOSC9
BMP2,FGF2
BMP2,SMAD1
CRLS1,CDS1
MCM8,CCNA2
NRCAM,ANK2
POLA1,HELQ
PCNA,LIN54
PCNA,CCNA2
PCNA,MAD2L1
PCNA,RCHY1
FEZ2,SCOC
DNAJC2,HSPA4L
AGRN,HPSE
E2F4,CCNA2
E2F4,LIN54
ISG15,HERC5
ISG15,HERC6
NAA16,NAA15
PRNP,SNCA
ZNF827,RBBP4
WBP4,LSM6
FOXO1,CCNG2
TFAP2A,CASP6
EIF1AX,ABCE1
EXOSC9,EXOSC1
EXOSC9,PNPT1
EXOSC9,MPHOSPH6
EXOSC9,ZFC3H1
EXOSC9,WDR3
EXOSC9,EXOSC10
EXOSC9,SUPV3L1
EXOSC9,SKIV2L
EXOSC9,MPP6
EXOSC9,PNO1
EXOSC9,EXOSC8
EXOSC9,TTC37
EXOSC9,EXOSC2
EXOSC9,C1D
EXOSC9,UTP6
EXOSC9,EXOSC6
EXOSC9,EXOSC4
EXOSC9,DIS3L
EXOSC9,EXOSC3
EXOSC9,HBS1L
EXOSC9,DIS3
EXOSC9,SETX
EXOSC9,EXOSC7
EXOSC9,SKIV2L2
EXOSC9,EXOSC5
EEF1E1,AIMP1
DNAJA1,HSPA4L
SMAD9,UBE2D3
SMAD9,SMAD1
NDUFB6,NDUFC1
DDX58,HERC5
DDX58,UBE2D3
ARIH1,HERC5
IL2RA,IL15
TEK,NFKB1
CDK14,CCNA2
RFC3,MAD2L1
RFC3,RCHY1
RBBP7,COPS4
RBBP7,SMARCA5
ALOX15B,CYP2U1
MRPS26,MRPS18C
MLLT3,AFF1
RPS6,EIF4E
RPS6,ABCE1
RPS6,RPL34
PIGA,PYURF
GEMIN8,NUP54
RRAGA,LAMTOR3
RRAGA,EIF4E
AKR1C3,HPGDS
BTF3,RPL34
EIF3CL,ABCE1
CEP152,PLK4
PAN3,EIF4E
PITRM1,COQ2
CWC27,LSM6
MTIF3,MRPS18C
RCAN1,PPP3CA
SDC1,FGF2
SDC1,CXCL1
SDC1,HPSE
TH,SNCA
NOP56,GAR1
POLR2B,METTL14
ASMT,CYP2U1
KLHL42,KLHL8
IL6ST,GAB1
ITPR2,ANK2
CCP110,PLK4
MYBBP1A,SMARCA5
COMMD8,COPS4
COMMD8,UBE2D3
JAK2,NFKB1
JAK2,PAPSS1
JAK2,GAB1
JAK2,CAMK2D
ASAH1,SGMS2
NUPL1,HSPA4L
NUPL1,EIF4E
NUPL1,NUP54
GART,MTHFD2L
CENPJ,PLK4
RFC1,RCHY1
PGM2,NUDT9
RSAD2,HERC5
RSAD2,HERC6
FGFBP1,FGF2
NOP2,SDAD1
PSME1,NFKB1
PSME1,HNRNPD
BET1L,RAB33B
RNMT,EIF4E
PTPLB,ELOVL6
SEC13,HSPA4L
SEC13,NUP54
SEC13,LAMTOR3
SEC13,EIF4E
SEC13,USO1
SEC13,SEC31A
SEC13,SEC24B
SEC13,SEC24D
MRPL2,MRPL1
MRPL2,MRPS18C
METTL14,RBM15B
METTL14,ZC3H13
METTL14,POLR2B
METTL14,METTL3
METTL14,POLR2I
METTL14,CBLL1
METTL14,NCBP2
METTL14,ALKBH5
METTL14,WTAP
METTL14,RBM15
METTL14,YTHDF1
METTL14,GTF2F2
METTL14,POLR2K
METTL14,DGCR8
METTL14,POLR2A
METTL14,FTO
METTL14,POLR2C
METTL14,KIAA1429
METTL14,YTHDC1
METTL14,POLR2G
METTL14,YTHDF2
METTL14,POLR2F
METTL14,POLR2L
METTL14,POLR2E
METTL14,POLR2J
METTL14,POLR2D
METTL14,METTL4
METTL14,POLR2H
METTL14,NCBP1
METTL14,GTF2F1
KRT18,CASP6
ACVRL1,SMAD1
C17orf85,EIF4E
SACM1L,INPP4B
DCP2,EIF4E
DCP2,LSM6
DCP2,CXCL8
EXOSC8,EXOSC9
SQSTM1,WDFY3
SQSTM1,NFKB1
AKT1S1,EIF4E
RPL13A,RPL34
ATG16L1,RAB33B
EEF1B2,RPL34
STAT4,HNRNPDL
STAT4,NFKB1
INPP1,INPP4B
GPS1,COPS4
BDH1,BDH2
RFC4,RCHY1
RFC4,MAD2L1
HNRNPA3,HNRNPD
GRB2,GAB1
GRB2,HPGDS
GRB2,SPRY1
CERS6,SGMS2
ECT2,CCNA2
STT3A,OSTC
CD79B,DAPP1
CD79B,CXCL9
GRK5,SNCA
MRPS33,MRPS18C
BCL2L11,CAMK2D
BCL2L11,MAPK10
BBS10,BBS7
BBS10,BBS12
SPOP,KLHL8
PICALM,BMP2K
PICALM,PPP3CA
CNOT6,CNOT6L
CNOT6,EIF4E
GOLGB1,USO1
NUMA1,CASP6
DDX60,HERC6
PPP6R3,GAR1
PPP6R3,SEC24D
PPP6R3,SEC24B
MRPL19,MRPL1
MRPL19,MRPS18C
JUP,LEF1
PTTG1,CCNA2
PTTG1,MAD2L1
MTHFD2,MTHFD2L
RPL24,RPL34
SUOX,PAPSS1
G3BP1,ABCE1
ELF2,BLK
PRC1,MAD2L1
PRC1,CCNA2
GPC3,FGF2
GPC3,HPSE
LARS,AIMP1
CCT4,BBS7
GTF2F1,METTL14
BAD,MAPK10
BAD,SNCA
ELOVL6,SCD5
ELOVL6,SLC27A2
ELOVL6,SREBF1
ELOVL6,ACSL4
ELOVL6,SREBF2
ELOVL6,ACSBG2
ELOVL6,HSD17B12
ELOVL6,SCD
ELOVL6,ACSBG1
ELOVL6,TECR
ELOVL6,PTPLB
ELOVL6,ACSL1
ELOVL6,PTPLA
ELOVL6,ACSL3
ELOVL6,ACSL5
CCL8,CXCL10
CFI,C3
CFI,CFB
CFI,CFH
CFI,CD46
CFI,C2
CFI,C4B
CFI,C4A
RPL34,RPL26L1
RPL34,RPL11
RPL34,EIF6
RPL34,RPS8
RPL34,RPL29
RPL34,RPL26
RPL34,RPLP2
RPL34,TPT1
RPL34,RPL35
RPL34,RPL18
RPL34,BTF3
RPL34,RPL39L
RPL34,EEF2
RPL34,RPLP0
RPL34,RPL7A
RPL34,RPS10
RPL34,RPS9
RPL34,FAU
RPL34,GNB2L1
RPL34,RPL10A
RPL34,RPS29
RPL34,ENSG00000260836
RPL34,RPS20
RPL34,UBA52
RPL34,RPS24
RPL34,DOCK4
RPL34,RPL37
RPL34,RPS13
RPL34,RPL21
RPL34,RPL38
RPL34,RPS3A
RPL34,PA2G4
RPL34,RPS23
RPL34,RPL18A
RPL34,RPS18
RPL34,RPL5
RPL34,SERBP1
RPL34,RPL10L
RPL34,RPL27A
RPL34,RPL23
RPL34,RPL23A
RPL34,RPL3L
RPL34,RPS14
RPL34,RPS15A
RPL34,RPS21
RPL34,RPS11
RPL34,RSRC1
RPL34,RPL10
RPL34,RPS4X
RPL34,RPS15
RPL34,RPS27A
RPL34,C18orf32
RPL34,RPL31
RPL34,EEF1A1
RPL34,RPS10-NUDT3
RPL34,RPSA
RPL34,RPL30
RPL34,ENSG00000260342
RPL34,RPL12
RPL34,RPS7
RPL34,RPL13A
RPL34,EEF1B2
RPL34,RPL14
RPL34,RPL32
RPL34,RPS6
RPL34,RPL9
RPL34,PLEC
RPL34,RPS3
RPL34,RPS27L
RPL34,RPL13
RPL34,RPL17-C18orf32
RPL34,RPS26
RPL34,RPL35A
RPL34,RPSAP58
RPL34,RPL15
RPL34,RPL27
RPL34,RPS25
RPL34,EIF5B
RPL34,RPS17
RPL34,RPS19
RPL34,RPS28
RPL34,RPL28
RPL34,RPL36
RPL34,RPS16
RPL34,RPL19
RPL34,RPL6
RPL34,MRPS7
RPL34,RPS12
RPL34,IMP3
RPL34,RPS5
RPL34,RPS27
RPL34,RPL17
RPL34,RPL22L1
RPL34,RPLP1
RPL34,RPL7
RPL34,RPL37A
RPL34,WDR31
RPL34,RPL36AL
RPL34,RPL36A
RPL34,RPL3
RPL34,RPL4
RPL34,RPL39
RPL34,RPL8
RPL34,RPL24
RPL34,RSL24D1
RPL34,RPL36A-HNRNPH2
RPL34,RPS2
RPL34,RPL22
SGMS2,CERS4
SGMS2,SMPD2
SGMS2,ACER2
SGMS2,SGPP2
SGMS2,GBA
SGMS2,GBA2
SGMS2,ACER1
SGMS2,SMPD4
SGMS2,CERK
SGMS2,CERS3
SGMS2,GALC
SGMS2,SGPP1
SGMS2,CERS6
SGMS2,ASAH2
SGMS2,SMPD1
SGMS2,ASAH1
SGMS2,UGT8
SGMS2,SMPD3
SGMS2,PPAP2C
SGMS2,PPAP2B
SGMS2,DEGS2
SGMS2,DEGS1
SGMS2,CERS2
SGMS2,CERS5
SGMS2,UGCG
AIMP1,IARS
AIMP1,LARS
AIMP1,EEF1E1
AIMP1,AIMP2
AIMP1,RARS
AIMP1,QARS
AIMP1,RARS2
AIMP1,KARS
AIMP1,MARS
AIMP1,EPRS
AIMP1,DARS
HSPA2,NUP54
PRKCD,SNCA
PRKCD,NFKB1
CXXC4,TET2
INCENP,NUP54
PPP3CB,PPP3CA
PPP3CA,SYNJ1
PPP3CA,PPP1R1B
PPP3CA,PPP1CC
PPP3CA,EPS15
PPP3CA,CALM3
PPP3CA,RCAN3
PPP3CA,PPP1CB
PPP3CA,C16orf74
PPP3CA,PPP3R2
PPP3CA,PPP2CB
PPP3CA,CYCS
PPP3CA,EPN1
PPP3CA,NOS1
PPP3CA,NFATC3
PPP3CA,RCAN2
PPP3CA,WDR82
PPP3CA,PPP1R9B
PPP3CA,AP2M1
PPP3CA,PPP2R5C
PPP3CA,PPP2R1A
PPP3CA,PPP2CA
PPP3CA,AP2A1
PPP3CA,PPP1CA
PPP3CA,PICALM
PPP3CA,DNM1
PPP3CA,CALM2
PPP3CA,MEF2A
PPP3CA,PPIA
PPP3CA,PPP1R12A
PPP3CA,CALM1
PPP3CA,PPP2R2A
PPP3CA,CABIN1
PPP3CA,PPP3CB
PPP3CA,MEF2D
PPP3CA,PPP3CC
PPP3CA,TOX4
PPP3CA,PPP2R5A
PPP3CA,FKBP1A
PPP3CA,PPP4R2
PPP3CA,SHOC2
PPP3CA,CNEP1R1
PPP3CA,BIN1
PPP3CA,NFATC2
PPP3CA,SYNJ2
PPP3CA,RCAN1
PPP3CA,MEF2C
PPP3CA,NFATC1
PPP3CA,PPP3R1
PPP3CA,PPP4R4
PPP3CA,CAMK2B
PPP3CA,CTDNEP1
PPP3CA,BIN2
PPP3CA,GSK3B
CDC23,CXCL8
CDC23,MAD2L1
CDC23,ANAPC10
KIF20A,MAD2L1
KIF20A,CCNA2
SIN3A,SMARCA5
SPP1,BCAR1
SPP1,SYK
SPP1,ITGB5
SPP1,FN1
SPP1,RAC1
SPP1,ITGB3
SPP1,MMP3
SPP1,CD44
SPP1,ITGA9
SPP1,MMP7
SPP1,PTK2B
SPP1,CDC42
SPP1,CBFB
SPP1,BGLAP
SPP1,MAP3K1
SPP1,GSTM1
SPP1,RUNX3
SPP1,ITGAV
SPP1,RHOA
SPP1,ITGB1
SPP1,ITGA8
SPP1,AP4M1
SPP1,IBSP
SPP1,IGFBP5
SPP1,ITGA4
FZR1,MAD2L1
FZR1,CCNA2
FZR1,ANAPC10
AFF1,CCNT1
AFF1,ELL3
AFF1,SIAH1
AFF1,MLLT10
AFF1,EAF1
AFF1,ELL
AFF1,DOT1L
AFF1,CDK9
AFF1,MLLT3
AFF1,ELL2
AFF1,MLLT1
ARHGAP24,RBM10
ARHGAP24,FLNA
CDK1,USO1
CDK1,MAD2L1
CDK1,CCNA2
CDK1,NUP54
SEC31A,SEC13
SEC31A,SEC23IP
SEC31A,XBP1
SEC31A,SEC24A
SEC31A,SAR1B
SEC31A,TFG
SEC31A,LMAN1
SEC31A,SEC16B
SEC31A,SEC24B
SEC31A,SEC24D
SEC31A,PEF1
SEC31A,PDCD6
SEC31A,SEC24C
SEC31A,SEC16A
SEC31A,SEC23A
SEC31A,SEC23B
SEC31A,SAR1A
SEC31A,KLHL12
PPP1CB,PPP3CA
AGPAT1,CDS1
ASAH2,SGMS2
ATXN2L,G3BP2
SULT1A1,ADH1B
SULT1A1,CYP2U1
MAPK8,NFKB1
MAPK8,GAB1
MAPK8,MAPK10
SULT1A2,ADH1B
SULT1A2,CYP2U1
BTC,ERBB2IP
BTC,HRAS
BTC,ERBB2
BTC,EPGN
BTC,AREG
BTC,EGFR
BTC,LRIG1
BTC,HBEGF
BTC,CSK
BTC,PXN
BTC,ADAM17
BTC,PTPRK
BTC,PTPN3
BTC,ERBB4
BTC,FOS
BTC,KRAS
BTC,NRAS
BTC,HSP90AA1
AREG,EREG
AREG,CSK
AREG,PXN
AREG,PTPN3
AREG,EGF
AREG,HRAS
AREG,BTC
AREG,EGFR
AREG,LRIG1
AREG,BET1
AREG,FOS
AREG,KRAS
AREG,NRAS
AREG,ERBB3
AREG,ERBB2
CAMK2B,CAMK2D
CAMK2B,PPP3CA
MTHFD2L,MTHFS
MTHFD2L,MTHFR
MTHFD2L,ST20-MTHFS
MTHFD2L,TYMS
MTHFD2L,AMT
MTHFD2L,FTCD
MTHFD2L,MTHFD1
MTHFD2L,MTHFD2
MTHFD2L,ALDH1L1
MTHFD2L,MTHFD1L
MTHFD2L,ALDH1L2
MTHFD2L,GART
MTHFD2L,MTFMT
MTHFD2L,ATIC
MTHFD2L,SHMT1
MTHFD2L,SHMT2
