protein1,protein2
LIF,CXCL1
PMPCB,COQ2
LSM8,LSM6
COPB1,USO1
MYOD1,SETD7
EGLN3,UBE2D3
NEDD8,COPS4
NEDD8,UBE2D3
DAD1,OSTC
RAP1B,GAB1
MAPK8IP3,MAPK10
LMAN1,SEC24B
LMAN1,SEC31A
CERS4,SGMS2
RPS16,RPL34
RPS16,ABCE1
NCAPG,CCNA2
NCAPG,MAD2L1
ALOX12,CYP2U1
RAF1,PAPSS1
NDUFA2,NDUFC1
APOE,SNCA
MRPL34,MRPL1
LSM7,LSM6
MLLT1,AFF1
NDUFA10,NDUFC1
EPO,GAB1
EPO,NFKB1
JUND,MAPK10
UBE2M,UBE2D3
TRIM28,SMARCAD1
EIF2S3,ABCE1
EIF2S3,EIF4E
SESN2,LAMTOR3
MRPL4,MRPS18C
MRPL4,MRPL1
EIF3G,ABCE1
GINS2,MAD2L1
MRPS25,MRPS18C
PPP1R1B,PPP3CA
SNRPA1,LSM6
DNAJB1,HSPA4L
NUP210,EIF4E
NUP210,HSPA4L
PTCD3,MRPS18C
COQ3,COQ2
NIP7,GAR1
TERF2,CCNA2
HSPA12B,NUP54
AP3B1,CAMK2D
CCNA1,CCNA2
HSPBP1,HSPA4L
KRAS,BTC
KRAS,FGF2
KRAS,CAMK2D
KRAS,PRKG2
KRAS,AREG
IPO8,NUP54
EIF2S1,ABCE1
EIF2S1,EIF4E
MRPS36,MRPS18C
CCNB1,LIN54
CCNB1,USO1
CCNB1,CCNA2
CCNB1,MAD2L1
CCNB1,NUP54
CDK7,CCNA2
VHL,JADE1
SORT1,MAPK10
LAMTOR5,LAMTOR3
LAMTOR5,EIF4E
CCNH,CCNA2
CABLES1,CCNA2
DDB2,COPS4
RAB33A,RAB33B
ZCCHC11,EIF4E
PRPF38A,LSM6
CEP135,PLK4
APC,PTPN13
OASL,HERC5
ORC3,CCNA2
AMHR2,SMAD1
CDK4,CCNA2
ESPL1,CCNA2
SMPD2,SGMS2
MRPL53,MRPL1
KCNMB4,PRKG2
MDM2,UBE2D3
MDM2,RASSF6
MDM2,CCNA2
BCO1,ADH5
BCO1,ADH1C
BCO1,ADH1B
MPHOSPH6,EXOSC9
MRPL44,MRPL1
MRPL44,MRPS18C
EIF4E2,EIF4E
MRPS9,MRPS18C
MRPS9,MRPL1
ALDH1L2,MTHFD2L
COG3,RAB33B
COG3,USO1
NUPL2,EIF4E
DDX56,SDAD1
ACSBG1,ELOVL6
MTHFS,MTHFD2L
KAT7,JADE1
NDUFB5,NDUFC1
BLK,ELF2
BLK,BANK1
BLK,DAPP1
BLK,PTPN13
BLK,SNCA
STX17,SEC24D
STX17,USO1
PSMB7,HNRNPD
PSMB7,NFKB1
RPL35,MRPL1
RPL35,RPL34
RIPK1,NFKB1
RIPK1,UBE2D3
MRPS18B,MRPS18C
POU5F1,FGF2
TLR2,NFKB1
TLR2,SNCA
MRPL15,MRPL1
MRPL15,MRPS18C
BUD13,LSM6
MMP7,SPP1
DCUN1D5,UBE2D3
DCUN1D5,COPS4
THBS1,FGF2
NDUFAF1,NDUFC1
KIF23,MAD2L1
KIF23,CCNA2
PLCB2,SNCA
ADAM10,TSPAN5
RSL24D1,RPL34
RSL24D1,SDAD1
PREB,SEC24B
PREB,SEC24D
CYP2C9,CYP2U1
KIF11,PLK4
KIF11,MAD2L1
KIF11,CCNA2
BARD1,ANAPC10
